MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	2048	64	4	0	0.842187	0.692187	0.999687	0.849031	0.000313	0.150938	0.022187	2.907238	252.182129	runs/20260331_081607__step2_base_r4_d64/model=rft_base__L=2048__seed=0__decoys=64__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	4	1	0.840313	0.672344	1	0.844063	0	0.155938	0.019688	2.826798	207.90918	runs/20260331_081607__step2_base_r4_d64/model=rft_base__L=2048__seed=1__decoys=64__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	64	4	2	0.84125	0.697187	0.999844	0.850146	0.000156	0.149844	0.022969	2.885837	207.90918	runs/20260331_081607__step2_base_r4_d64/model=rft_base__L=2048__seed=2__decoys=64__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	1	0	0.835156	0.678438	0.999531	0.845771	0.000469	0.154219	0.024688	2.819338	252.182129	runs/20260331_012514__step2_base_r1_d128/model=rft_base__L=2048__seed=0__decoys=128__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	1	1	0.827969	0.681094	0.999375	0.839177	0.000625	0.160781	0.026719	2.822514	207.90918	runs/20260331_012514__step2_base_r1_d128/model=rft_base__L=2048__seed=1__decoys=128__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	1	2	0.831562	0.698125	0.999687	0.842187	0.000313	0.157812	0.026406	2.846208	207.90918	runs/20260331_012514__step2_base_r1_d128/model=rft_base__L=2048__seed=2__decoys=128__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	2	0	0.837969	0.684063	0.999687	0.848063	0.000313	0.151875	0.024844	2.862101	252.182129	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=2048__seed=0__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	2	1	0.836719	0.676562	0.999687	0.841677	0.000313	0.158281	0.020781	2.848297	207.90918	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=2048__seed=1__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	2	2	0.827812	0.705	0.999844	0.841063	0.000156	0.158906	0.026094	2.818365	207.90918	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=2048__seed=2__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	4	0	0.839063	0.685781	1	0.845625	0	0.154375	0.020938	2.827448	252.182129	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=2048__seed=0__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	4	1	0.838594	0.691719	0.999062	0.844354	0.000937	0.155469	0.0225	2.847889	207.90918	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=2048__seed=1__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	128	4	2	0.842969	0.712812	0.999687	0.854333	0.000313	0.145625	0.024219	2.83955	207.90918	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=2048__seed=2__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	1	0	0.819531	0.695312	0.998594	0.83124	0.001406	0.168594	0.025156	2.924013	252.178711	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=2048__seed=0__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	1	1	0.822812	0.684063	0.999531	0.834813	0.000469	0.165156	0.026875	2.924179	207.90918	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=2048__seed=1__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	1	2	0.827656	0.699375	0.999687	0.834344	0.000313	0.165625	0.024219	2.91629	207.90918	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=2048__seed=2__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	2	0	0.819844	0.694688	0.997969	0.824219	0.002031	0.175469	0.020313	2.837544	252.182129	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=2048__seed=0__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	256	2	1	0.834688	0.705313	0.999062	0.843594	0.000937	0.15625	0.024375	2.921942	207.90918	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=2048__seed=1__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
